mmu-miR-7119-3p	miR-7119-3p
hsa-miR-3656	hsa-miR-3656
hsa-miR-3687	hsa-miR-3687
hsa-miR-375	hsa-miR-375
hsa-miR-375-3p	hsa-miR-375-3p
hsa-miR-375-5p	hsa-miR-375-5p
hsa-miR-383-5p	hsa-miR-383-5p
hsa-miR-383-5p.1	hsa-miR-383-5p.1
hsa-miR-383-5p.2	hsa-miR-383-5p.2
hsa-miR-411-5p	hsa-miR-411-5p
hsa-miR-411-5p.1	hsa-miR-411-5p.1
hsa-miR-411-5p.2	hsa-miR-411-5p.2
hsa-miR-4417	hsa-miR-4417
hsa-miR-4419a	hsa-miR-4419a
hsa-miR-4419b	hsa-miR-4419b
hsa-miR-4459	hsa-miR-4459
hsa-miR-4461	hsa-miR-4461
hsa-miR-4532	hsa-miR-4532
hsa-miR-455-3p	hsa-miR-455-3p
hsa-miR-455-3p.1	hsa-miR-455-3p.1
hsa-miR-455-3p.2	hsa-miR-455-3p.2
hsa-miR-4792	hsa-miR-4792
hsa-miR-483-3p	hsa-miR-483-3p
hsa-miR-483-3p.1	hsa-miR-483-3p.1
hsa-miR-483-3p.2	hsa-miR-483-3p.2
hsa-miR-496	hsa-miR-496
hsa-miR-496.1	hsa-miR-496.1
hsa-miR-496.2	hsa-miR-496.2
hsa-miR-498	hsa-miR-498
hsa-miR-498-3p	hsa-miR-498-3p
hsa-miR-498-5p	hsa-miR-498-5p
hsa-miR-504-5p	hsa-miR-504-5p
hsa-miR-504-5p.1	hsa-miR-504-5p.1
hsa-miR-505-3p	hsa-miR-505-3p
hsa-miR-505-3p.1	hsa-miR-505-3p.1
hsa-miR-505-3p.2	hsa-miR-505-3p.2
hsa-miR-5095	hsa-miR-5095
hsa-miR-5096	hsa-miR-5096
hsa-miR-519a-2-5p	hsa-miR-519a-2-5p
hsa-miR-520b	hsa-miR-520b
hsa-miR-520b-3p	hsa-miR-520b-3p
hsa-miR-520b-5p	hsa-miR-520b-5p
hsa-miR-520e	hsa-miR-520e
hsa-miR-520e-3p	hsa-miR-520e-3p
hsa-miR-520e-5p	hsa-miR-520e-5p
hsa-miR-526a	hsa-miR-526a
hsa-miR-526a-3p	hsa-miR-526a-3p
hsa-miR-526a-5p	hsa-miR-526a-5p
hsa-miR-548bc	hsa-miR-548bc
hsa-miR-549a	hsa-miR-549a
hsa-miR-549a-3p	hsa-miR-549a-3p
hsa-miR-549a-5p	hsa-miR-549a-5p
hsa-miR-566	hsa-miR-566
hsa-miR-6087	hsa-miR-6087
hsa-miR-6529-3p	hsa-miR-6529-3p
hsa-miR-6529-5p	hsa-miR-6529-5p
hsa-miR-6723-5p	hsa-miR-6723-5p
hsa-miR-7641	hsa-miR-7641
hsa-miR-873-5p	hsa-miR-873-5p
hsa-miR-873-5p.1	hsa-miR-873-5p.1
hsa-miR-873-5p.2	hsa-miR-873-5p.2
hsa-miR-9718	hsa-miR-9718
hsa-miR-9851-3p	hsa-miR-9851-3p
hsa-miR-9851-5p	hsa-miR-9851-5p
hsa-miR-9898	hsa-miR-9898
hsa-miR-9899	hsa-miR-9899
hsa-miR-9900	hsa-miR-9900
hsa-miR-9901	hsa-miR-9901
hsa-miR-9902	hsa-miR-9902
hsa-miR-9903	hsa-miR-9903
hsa-miR-9983-3p	hsa-miR-9983-3p
hsa-miR-9985	hsa-miR-9985
hsa-miR-9986	hsa-miR-9986
hsv1-miR-H11	hsv1-miR-H11
hsv1-miR-H12	hsv1-miR-H12
hsv1-miR-H13	hsv1-miR-H13
hsv1-miR-H1-3p	hsv1-miR-H1-3p
hsv1-miR-H14-3p	hsv1-miR-H14-3p
hsv1-miR-H14-5p	hsv1-miR-H14-5p
hsv1-miR-H15	hsv1-miR-H15
hsv1-miR-H1-5p	hsv1-miR-H1-5p
hsv1-miR-H16	hsv1-miR-H16
hsv1-miR-H17	hsv1-miR-H17
hsv1-miR-H18	hsv1-miR-H18
hsv1-miR-H2-3p	hsv1-miR-H2-3p
hsv1-miR-H2-5p	hsv1-miR-H2-5p
hsv1-miR-H26	hsv1-miR-H26
hsv1-miR-H27	hsv1-miR-H27
hsv1-miR-H3-3p	hsv1-miR-H3-3p
hsv1-miR-H3-5p	hsv1-miR-H3-5p
hsv1-miR-H4-3p	hsv1-miR-H4-3p
hsv1-miR-H4-5p	hsv1-miR-H4-5p
hsv1-miR-H5-3p	hsv1-miR-H5-3p
hsv1-miR-H5-5p	hsv1-miR-H5-5p
hsv1-miR-H6-3p	hsv1-miR-H6-3p
hsv1-miR-H6-5p	hsv1-miR-H6-5p
hsv1-miR-H7-3p	hsv1-miR-H7-3p
hsv1-miR-H7-5p	hsv1-miR-H7-5p
hsv1-miR-H8-3p	hsv1-miR-H8-3p
hsv1-miR-H8-5p	hsv1-miR-H8-5p
hsv2-miR-H10	hsv2-miR-H10
hsv2-miR-H11-3p	hsv2-miR-H11-3p
hsv2-miR-H11-5p	hsv2-miR-H11-5p
hsv2-miR-H12	hsv2-miR-H12
hsv2-miR-H13	hsv2-miR-H13
hsv2-miR-H19	hsv2-miR-H19
hsv2-miR-H2	hsv2-miR-H2
hsv2-miR-H20	hsv2-miR-H20
hsv2-miR-H21	hsv2-miR-H21
hsv2-miR-H22	hsv2-miR-H22
hsv2-miR-H23-3p	hsv2-miR-H23-3p
hsv2-miR-H23-5p	hsv2-miR-H23-5p
hsv2-miR-H24	hsv2-miR-H24
hsv2-miR-H25	hsv2-miR-H25
hsv2-miR-H3	hsv2-miR-H3
hsv2-miR-H4-3p	hsv2-miR-H4-3p
hsv2-miR-H4-5p	hsv2-miR-H4-5p
hsv2-miR-H5	hsv2-miR-H5
hsv2-miR-H6-3p	hsv2-miR-H6-3p
hsv2-miR-H6-5p	hsv2-miR-H6-5p
hsv2-miR-H7-3p	hsv2-miR-H7-3p
hsv2-miR-H7-5p	hsv2-miR-H7-5p
hsv2-miR-H9-3p	hsv2-miR-H9-3p
hsv2-miR-H9-5p	hsv2-miR-H9-5p
htu-miR156a	htu-miR156a
htu-miR159a	htu-miR159a
htu-miR160a	htu-miR160a
htu-miR162a	htu-miR162a
htu-miR171a	htu-miR171a
htu-miR171b	htu-miR171b
htu-miR171c	htu-miR171c
htu-miR393a	htu-miR393a
htu-miR393b	htu-miR393b
htu-miR393c	htu-miR393c
htu-miR403a	htu-miR403a
htu-miR403b	htu-miR403b
htu-miR403c	htu-miR403c
htu-miR403d	htu-miR403d
htu-miR403e	htu-miR403e
htu-miR530	htu-miR530
hvsa-miR-HSUR2-3p	hvsa-miR-HSUR2-3p
hvsa-miR-HSUR2-5p	hvsa-miR-HSUR2-5p
hvsa-miR-HSUR4-3p	hvsa-miR-HSUR4-3p
hvsa-miR-HSUR4-5p	hvsa-miR-HSUR4-5p
hvsa-miR-HSUR5-3p	hvsa-miR-HSUR5-3p
hvsa-miR-HSUR5-5p	hvsa-miR-HSUR5-5p
hvt-miR-H1	hvt-miR-H1
hvt-miR-H10	hvt-miR-H10
hvt-miR-H11	hvt-miR-H11
hvt-miR-H12-3p	hvt-miR-H12-3p
hvt-miR-H12-5p	hvt-miR-H12-5p
hvt-miR-H13	hvt-miR-H13
hvt-miR-H14-3p	hvt-miR-H14-3p
hvt-miR-H14-5p	hvt-miR-H14-5p
hvt-miR-H15-3p	hvt-miR-H15-3p
hvt-miR-H15-5p	hvt-miR-H15-5p
hvt-miR-H16-3p	hvt-miR-H16-3p
hvt-miR-H16-5p	hvt-miR-H16-5p
hvt-miR-H17-3p	hvt-miR-H17-3p
hvt-miR-H17-5p	hvt-miR-H17-5p
hvt-miR-H18-3p	hvt-miR-H18-3p
hvt-miR-H18-5p	hvt-miR-H18-5p
hvt-miR-H2	hvt-miR-H2
hvt-miR-H3-3p	hvt-miR-H3-3p
hvt-miR-H3-5p	hvt-miR-H3-5p
hvt-miR-H4-3p	hvt-miR-H4-3p
hvt-miR-H4-5p	hvt-miR-H4-5p
hvt-miR-H5-3p	hvt-miR-H5-3p
hvt-miR-H5-5p	hvt-miR-H5-5p
hvt-miR-H7-3p	hvt-miR-H7-3p
hvt-miR-H7-5p	hvt-miR-H7-5p
hvt-miR-H8	hvt-miR-H8
hvt-miR-H9-3p	hvt-miR-H9-3p
hvt-miR-H9-5p	hvt-miR-H9-5p
hvu-miR1120	hvu-miR1120
hvu-miR1130	hvu-miR1130
hvu-miR1436	hvu-miR1436
hvu-miR156a	hvu-miR156a
hvu-miR156b	hvu-miR156b
hvu-miR159a	hvu-miR159a
hvu-miR159b	hvu-miR159b
hvu-miR166a	hvu-miR166a
hvu-miR166b	hvu-miR166b
hvu-miR166c	hvu-miR166c
hvu-miR168-3p	hvu-miR168-3p
hvu-miR168-5p	hvu-miR168-5p
hvu-miR169	hvu-miR169
hvu-miR171-3p	hvu-miR171-3p
hvu-miR171-5p	hvu-miR171-5p
hvu-miR397a	hvu-miR397a
hvu-miR397b-3p	hvu-miR397b-3p
hvu-miR399	hvu-miR399
hvu-miR444a	hvu-miR444a
hvu-miR444b	hvu-miR444b
hvu-miR5048a	hvu-miR5048a
hvu-miR5048b	hvu-miR5048b
hvu-miR5049a	hvu-miR5049a
hvu-miR5049b	hvu-miR5049b
hvu-miR5049c	hvu-miR5049c
hvu-miR5049d	hvu-miR5049d
hvu-miR5049e	hvu-miR5049e
hvu-miR5049f	hvu-miR5049f
hvu-miR5050	hvu-miR5050
hvu-miR5051	hvu-miR5051
hvu-miR5052	hvu-miR5052
hvu-miR5053	hvu-miR5053
hvu-miR6176	hvu-miR6176
hvu-miR6177	hvu-miR6177
hvu-miR6178	hvu-miR6178
hvu-miR6179	hvu-miR6179
hvu-miR6180	hvu-miR6180
hvu-miR6181	hvu-miR6181
hvu-miR6182	hvu-miR6182
hvu-miR6183	hvu-miR6183
hvu-miR6184	hvu-miR6184
hvu-miR6185	hvu-miR6185
hvu-miR6186	hvu-miR6186
hvu-miR6187	hvu-miR6187
hvu-miR6188	hvu-miR6188
hvu-miR6189	hvu-miR6189
hvu-miR6190	hvu-miR6190
hvu-miR6191	hvu-miR6191
hvu-miR6192	hvu-miR6192
hvu-miR6193	hvu-miR6193
hvu-miR6194	hvu-miR6194
hvu-miR6195	hvu-miR6195
hvu-miR6196	hvu-miR6196
hvu-miR6197	hvu-miR6197
hvu-miR6198	hvu-miR6198
hvu-miR6199	hvu-miR6199
hvu-miR6200	hvu-miR6200
hvu-miR6201	hvu-miR6201
hvu-miR6202	hvu-miR6202
hvu-miR6203	hvu-miR6203
hvu-miR6204	hvu-miR6204
hvu-miR6205	hvu-miR6205
hvu-miR6206	hvu-miR6206
hvu-miR6207	hvu-miR6207
hvu-miR6208	hvu-miR6208
hvu-miR6209	hvu-miR6209
hvu-miR6210	hvu-miR6210
hvu-miR6211	hvu-miR6211
hvu-miR6212	hvu-miR6212
hvu-miR6213	hvu-miR6213
hvu-miR6214	hvu-miR6214
iltv-miR-I1-3p	iltv-miR-I1-3p
iltv-miR-I1-5p	iltv-miR-I1-5p
iltv-miR-I2	iltv-miR-I2
iltv-miR-I3	iltv-miR-I3
iltv-miR-I4	iltv-miR-I4
iltv-miR-I5-3p	iltv-miR-I5-3p
iltv-miR-I5-5p	iltv-miR-I5-5p
iltv-miR-I6-3p	iltv-miR-I6-3p
iltv-miR-I6-5p	iltv-miR-I6-5p
iltv-miR-I7	iltv-miR-I7
ipu-let-7a	ipu-let-7a
ipu-let-7b	ipu-let-7b
ipu-let-7c	ipu-let-7c
ipu-let-7d	ipu-let-7d
ipu-let-7e	ipu-let-7e
ipu-let-7f	ipu-let-7f
ipu-let-7g	ipu-let-7g
ipu-let-7h	ipu-let-7h
ipu-let-7i	ipu-let-7i
ipu-let-7j	ipu-let-7j
ipu-miR-1	ipu-miR-1
ipu-miR-100	ipu-miR-100
ipu-miR-101a	ipu-miR-101a
ipu-miR-101b	ipu-miR-101b
ipu-miR-103	ipu-miR-103
ipu-miR-107a	ipu-miR-107a
ipu-miR-107b	ipu-miR-107b
ipu-miR-10a	ipu-miR-10a
ipu-miR-10b	ipu-miR-10b
ipu-miR-10c	ipu-miR-10c
ipu-miR-10d	ipu-miR-10d
ipu-miR-122	ipu-miR-122
ipu-miR-124a	ipu-miR-124a
ipu-miR-125a	ipu-miR-125a
ipu-miR-125b	ipu-miR-125b
ipu-miR-125c	ipu-miR-125c
ipu-miR-126a	ipu-miR-126a
ipu-miR-126b	ipu-miR-126b
ipu-miR-128	ipu-miR-128
ipu-miR-129	ipu-miR-129
ipu-miR-129b	ipu-miR-129b
ipu-miR-130c	ipu-miR-130c
ipu-miR-132a	ipu-miR-132a
ipu-miR-132b	ipu-miR-132b
ipu-miR-133a	ipu-miR-133a
ipu-miR-133b	ipu-miR-133b
ipu-miR-133c	ipu-miR-133c
ipu-miR-135a	ipu-miR-135a
ipu-miR-135b	ipu-miR-135b
ipu-miR-135c	ipu-miR-135c
ipu-miR-137	ipu-miR-137
ipu-miR-138	ipu-miR-138
ipu-miR-1388	ipu-miR-1388
ipu-miR-139	ipu-miR-139
ipu-miR-140	ipu-miR-140
ipu-miR-141	ipu-miR-141
ipu-miR-142	ipu-miR-142
ipu-miR-143	ipu-miR-143
ipu-miR-144	ipu-miR-144
ipu-miR-145	ipu-miR-145
ipu-miR-146a	ipu-miR-146a
ipu-miR-146b	ipu-miR-146b
ipu-miR-148	ipu-miR-148
ipu-miR-150	ipu-miR-150
ipu-miR-152	ipu-miR-152
ipu-miR-153b	ipu-miR-153b
ipu-miR-155	ipu-miR-155
ipu-miR-15a	ipu-miR-15a
ipu-miR-15b	ipu-miR-15b
ipu-miR-16b	ipu-miR-16b
ipu-miR-16c	ipu-miR-16c
ipu-miR-1788	ipu-miR-1788
ipu-miR-17a	ipu-miR-17a
ipu-miR-17b	ipu-miR-17b
ipu-miR-181a	ipu-miR-181a
ipu-miR-181b	ipu-miR-181b
ipu-miR-181c	ipu-miR-181c
ipu-miR-182	ipu-miR-182
ipu-miR-183	ipu-miR-183
ipu-miR-184	ipu-miR-184
ipu-miR-187	ipu-miR-187
ipu-miR-18a	ipu-miR-18a
ipu-miR-190a	ipu-miR-190a
ipu-miR-190b	ipu-miR-190b
ipu-miR-192	ipu-miR-192
ipu-miR-194a	ipu-miR-194a
ipu-miR-196a	ipu-miR-196a
ipu-miR-196d	ipu-miR-196d
ipu-miR-199a-3p	ipu-miR-199a-3p
ipu-miR-199a-5p	ipu-miR-199a-5p
ipu-miR-199b	ipu-miR-199b
ipu-miR-19a	ipu-miR-19a
ipu-miR-19b	ipu-miR-19b
ipu-miR-200a	ipu-miR-200a
ipu-miR-200b	ipu-miR-200b
ipu-miR-200c	ipu-miR-200c
ipu-miR-202	ipu-miR-202
ipu-miR-203a	ipu-miR-203a
ipu-miR-203b	ipu-miR-203b
ipu-miR-203c	ipu-miR-203c
ipu-miR-204	ipu-miR-204
ipu-miR-205	ipu-miR-205
ipu-miR-206	ipu-miR-206
ipu-miR-20a	ipu-miR-20a
ipu-miR-21	ipu-miR-21
ipu-miR-210	ipu-miR-210
ipu-miR-212	ipu-miR-212
ipu-miR-214	ipu-miR-214
ipu-miR-216a	ipu-miR-216a
ipu-miR-216b	ipu-miR-216b
ipu-miR-217	ipu-miR-217
ipu-miR-2187	ipu-miR-2187
ipu-miR-2188	ipu-miR-2188
ipu-miR-218a	ipu-miR-218a
ipu-miR-218b	ipu-miR-218b
ipu-miR-219a	ipu-miR-219a
ipu-miR-219b	ipu-miR-219b
ipu-miR-221	ipu-miR-221
ipu-miR-222a	ipu-miR-222a
ipu-miR-223	ipu-miR-223
ipu-miR-22a	ipu-miR-22a
ipu-miR-22b	ipu-miR-22b
ipu-miR-23a	ipu-miR-23a
ipu-miR-23b	ipu-miR-23b
ipu-miR-24	ipu-miR-24
ipu-miR-24b	ipu-miR-24b
ipu-miR-25	ipu-miR-25
ipu-miR-26a	ipu-miR-26a
ipu-miR-26b	ipu-miR-26b
ipu-miR-27a	ipu-miR-27a
ipu-miR-27b	ipu-miR-27b
ipu-miR-27c	ipu-miR-27c
ipu-miR-27d	ipu-miR-27d
ipu-miR-27e	ipu-miR-27e
ipu-miR-29a	ipu-miR-29a
ipu-miR-29b	ipu-miR-29b
ipu-miR-29c	ipu-miR-29c
ipu-miR-301a	ipu-miR-301a
ipu-miR-301c	ipu-miR-301c
ipu-miR-30a	ipu-miR-30a
ipu-miR-30b	ipu-miR-30b
ipu-miR-30c	ipu-miR-30c
ipu-miR-30d	ipu-miR-30d
ipu-miR-30e	ipu-miR-30e
ipu-miR-31	ipu-miR-31
ipu-miR-338	ipu-miR-338
ipu-miR-34a	ipu-miR-34a
ipu-miR-34b	ipu-miR-34b
ipu-miR-34c	ipu-miR-34c
ipu-miR-3618	ipu-miR-3618
ipu-miR-363	ipu-miR-363
ipu-miR-365	ipu-miR-365
ipu-miR-375	ipu-miR-375
ipu-miR-429a	ipu-miR-429a
ipu-miR-429b	ipu-miR-429b
ipu-miR-454b	ipu-miR-454b
ipu-miR-455a	ipu-miR-455a
ipu-miR-455b	ipu-miR-455b
ipu-miR-456	ipu-miR-456
ipu-miR-457a	ipu-miR-457a
ipu-miR-457b	ipu-miR-457b
ipu-miR-458	ipu-miR-458
ipu-miR-459	ipu-miR-459
ipu-miR-460	ipu-miR-460
ipu-miR-462	ipu-miR-462
ipu-miR-489	ipu-miR-489
ipu-miR-499	ipu-miR-499
ipu-miR-551	ipu-miR-551
ipu-miR-7147	ipu-miR-7147
ipu-miR-724	ipu-miR-724
ipu-miR-728	ipu-miR-728
ipu-miR-730	ipu-miR-730
ipu-miR-737	ipu-miR-737
ipu-miR-7547	ipu-miR-7547
ipu-miR-7548	ipu-miR-7548
ipu-miR-7549	ipu-miR-7549
ipu-miR-7550	ipu-miR-7550
ipu-miR-7551	ipu-miR-7551
ipu-miR-7552	ipu-miR-7552
ipu-miR-7553	ipu-miR-7553
ipu-miR-7554	ipu-miR-7554
ipu-miR-7555	ipu-miR-7555
ipu-miR-7556	ipu-miR-7556
ipu-miR-7557	ipu-miR-7557
ipu-miR-7558a	ipu-miR-7558a
ipu-miR-7558b	ipu-miR-7558b
ipu-miR-7559	ipu-miR-7559
ipu-miR-7560	ipu-miR-7560
ipu-miR-7561	ipu-miR-7561
ipu-miR-7562	ipu-miR-7562
ipu-miR-7563a	ipu-miR-7563a
ipu-miR-7563b	ipu-miR-7563b
ipu-miR-7563c	ipu-miR-7563c
ipu-miR-7564	ipu-miR-7564
ipu-miR-7565	ipu-miR-7565
ipu-miR-7566	ipu-miR-7566
ipu-miR-7567	ipu-miR-7567
ipu-miR-7568	ipu-miR-7568
ipu-miR-7569	ipu-miR-7569
ipu-miR-7570	ipu-miR-7570
ipu-miR-7571	ipu-miR-7571
ipu-miR-7572	ipu-miR-7572
ipu-miR-7573	ipu-miR-7573
ipu-miR-7574	ipu-miR-7574
ipu-miR-7575	ipu-miR-7575
ipu-miR-7576	ipu-miR-7576
ipu-miR-7577	ipu-miR-7577
ipu-miR-7a	ipu-miR-7a
ipu-miR-7b	ipu-miR-7b
ipu-miR-9	ipu-miR-9
ipu-miR-92a	ipu-miR-92a
ipu-miR-92b	ipu-miR-92b
ipu-miR-96	ipu-miR-96
ipu-miR-99a	ipu-miR-99a
ipu-miR-99b	ipu-miR-99b
isc-bantam	isc-bantam
isc-let-7	isc-let-7
isc-miR-1	isc-miR-1
isc-miR-10	isc-miR-10
isc-miR-100	isc-miR-100
isc-miR-12	isc-miR-12
isc-miR-124	isc-miR-124
isc-miR-133	isc-miR-133
isc-miR-137	isc-miR-137
isc-miR-153	isc-miR-153
isc-miR-184	isc-miR-184
isc-miR-1993	isc-miR-1993
isc-miR-2001	isc-miR-2001
isc-miR-219	isc-miR-219
isc-miR-252b	isc-miR-252b
isc-miR-263a	isc-miR-263a
isc-miR-275	isc-miR-275
isc-miR-276	isc-miR-276
isc-miR-278	isc-miR-278
isc-miR-279	isc-miR-279
isc-miR-285	isc-miR-285
isc-miR-2a	isc-miR-2a
isc-miR-2b	isc-miR-2b
isc-miR-305	isc-miR-305
isc-miR-307	isc-miR-307
isc-miR-315	isc-miR-315
isc-miR-317	isc-miR-317
isc-miR-375	isc-miR-375
isc-miR-3931	isc-miR-3931
isc-miR-5305	isc-miR-5305
isc-miR-5306	isc-miR-5306
isc-miR-5307	isc-miR-5307
isc-miR-5308	isc-miR-5308
isc-miR-5309	isc-miR-5309
isc-miR-5310	isc-miR-5310
isc-miR-5311	isc-miR-5311
isc-miR-5312	isc-miR-5312
isc-miR-5313	isc-miR-5313
isc-miR-5314	isc-miR-5314
isc-miR-5315	isc-miR-5315
isc-miR-7	isc-miR-7
isc-miR-71	isc-miR-71
isc-miR-750	isc-miR-750
isc-miR-79	isc-miR-79
isc-miR-8	isc-miR-8
isc-miR-87	isc-miR-87
isc-miR-96	isc-miR-96
isc-miR-993	isc-miR-993
isc-miR-iab-4	isc-miR-iab-4
jcv-miR-J1-3p	jcv-miR-J1-3p
jcv-miR-J1-5p	jcv-miR-J1-5p
kshv-miR-K12-10a-3p	kshv-miR-K12-10a-3p
kshv-miR-K12-10a-5p	kshv-miR-K12-10a-5p
kshv-miR-K12-10b	kshv-miR-K12-10b
kshv-miR-K12-11-3p	kshv-miR-K12-11-3p
kshv-miR-K12-11-5p	kshv-miR-K12-11-5p
kshv-miR-K12-12-3p	kshv-miR-K12-12-3p
kshv-miR-K12-12-5p	kshv-miR-K12-12-5p
kshv-miR-K12-1-3p	kshv-miR-K12-1-3p
kshv-miR-K12-1-5p	kshv-miR-K12-1-5p
kshv-miR-K12-2-3p	kshv-miR-K12-2-3p
kshv-miR-K12-2-5p	kshv-miR-K12-2-5p
kshv-miR-K12-3-3p	kshv-miR-K12-3-3p
kshv-miR-K12-3-5p	kshv-miR-K12-3-5p
kshv-miR-K12-4-3p	kshv-miR-K12-4-3p
kshv-miR-K12-4-5p	kshv-miR-K12-4-5p
kshv-miR-K12-5-3p	kshv-miR-K12-5-3p
kshv-miR-K12-5-5p	kshv-miR-K12-5-5p
kshv-miR-K12-6-3p	kshv-miR-K12-6-3p
kshv-miR-K12-6-5p	kshv-miR-K12-6-5p
kshv-miR-K12-7-3p	kshv-miR-K12-7-3p
kshv-miR-K12-7-5p	kshv-miR-K12-7-5p
kshv-miR-K12-8-3p	kshv-miR-K12-8-3p
kshv-miR-K12-8-5p	kshv-miR-K12-8-5p
kshv-miR-K12-9-3p	kshv-miR-K12-9-3p
kshv-miR-K12-9-5p	kshv-miR-K12-9-5p
lca-miR-125b	lca-miR-125b
lca-miR-15a	lca-miR-15a
lca-miR-16	lca-miR-16
lca-miR-17-3p	lca-miR-17-3p
lca-miR-17-5p	lca-miR-17-5p
lca-miR-18	lca-miR-18
lca-miR-19a	lca-miR-19a
lca-miR-19b	lca-miR-19b
lca-miR-20	lca-miR-20
lca-miR-216	lca-miR-216
lca-miR-218	lca-miR-218
lca-miR-22	lca-miR-22
lca-miR-23a	lca-miR-23a
lca-miR-27a	lca-miR-27a
lca-miR-92	lca-miR-92
lco-miR-7642-3p	lco-miR-7642-3p
lgi-let-7	lgi-let-7
lgi-miR-1	lgi-miR-1
lgi-miR-10	lgi-miR-10
lgi-miR-100	lgi-miR-100
lgi-miR-1175-3p	lgi-miR-1175-3p
lgi-miR-1175-5p	lgi-miR-1175-5p
lgi-miR-12	lgi-miR-12
lgi-miR-124	lgi-miR-124
lgi-miR-133-3p	lgi-miR-133-3p
lgi-miR-133-5p	lgi-miR-133-5p
lgi-miR-137	lgi-miR-137
lgi-miR-153	lgi-miR-153
lgi-miR-184	lgi-miR-184
lgi-miR-190	lgi-miR-190
lgi-miR-193	lgi-miR-193
lgi-miR-1984	lgi-miR-1984
lgi-miR-1985	lgi-miR-1985
lgi-miR-1986	lgi-miR-1986
lgi-miR-1988	lgi-miR-1988
lgi-miR-1989	lgi-miR-1989
lgi-miR-1990	lgi-miR-1990
lgi-miR-1991	lgi-miR-1991
lgi-miR-1992	lgi-miR-1992
lgi-miR-1993	lgi-miR-1993
lgi-miR-1994a	lgi-miR-1994a
lgi-miR-1994b	lgi-miR-1994b
lgi-miR-2001	lgi-miR-2001
lgi-miR-216a	lgi-miR-216a
lgi-miR-216b	lgi-miR-216b
lgi-miR-242a	lgi-miR-242a
lgi-miR-242b	lgi-miR-242b
lgi-miR-252a	lgi-miR-252a
lgi-miR-252b	lgi-miR-252b
lgi-miR-263a	lgi-miR-263a
lgi-miR-263b	lgi-miR-263b
lgi-miR-2722	lgi-miR-2722
lgi-miR-278	lgi-miR-278
lgi-miR-279	lgi-miR-279
lgi-miR-281-3p	lgi-miR-281-3p
lgi-miR-281-5p	lgi-miR-281-5p
lgi-miR-29	lgi-miR-29
lgi-miR-2c	lgi-miR-2c
lgi-miR-2d	lgi-miR-2d
lgi-miR-31	lgi-miR-31
lgi-miR-315	lgi-miR-315
lgi-miR-317	lgi-miR-317
lgi-miR-33-3p	lgi-miR-33-3p
lgi-miR-33-5p	lgi-miR-33-5p
lgi-miR-34	lgi-miR-34
lgi-miR-375	lgi-miR-375
lgi-miR-67	lgi-miR-67
lgi-miR-7	lgi-miR-7
lgi-miR-71	lgi-miR-71
lgi-miR-745a	lgi-miR-745a
lgi-miR-745b	lgi-miR-745b
lgi-miR-750	lgi-miR-750
lgi-miR-8	lgi-miR-8
lgi-miR-87	lgi-miR-87
lgi-miR-92	lgi-miR-92
lgi-miR-9-3p	lgi-miR-9-3p
lgi-miR-9-5p	lgi-miR-9-5p
lgi-miR-96a	lgi-miR-96a
lgi-miR-96b	lgi-miR-96b
lgi-miR-981	lgi-miR-981
lja-miR11066-3p	lja-miR11066-3p
lja-miR11066-5p	lja-miR11066-5p
lja-miR11067-3p	lja-miR11067-3p
lja-miR11067-5p	lja-miR11067-5p
lja-miR11068a-3p	lja-miR11068a-3p
lja-miR11068a-5p	lja-miR11068a-5p
lja-miR11068b-3p	lja-miR11068b-3p
lja-miR11068c-3p	lja-miR11068c-3p
lja-miR11068c-5p	lja-miR11068c-5p
lja-miR11068d-3p	lja-miR11068d-3p
lja-miR11068e-3p	lja-miR11068e-3p
lja-miR11068f-3p	lja-miR11068f-3p
lja-miR11069-5p	lja-miR11069-5p
lja-miR11070-5p	lja-miR11070-5p
lja-miR11071-3p	lja-miR11071-3p
lja-miR11072a-3p	lja-miR11072a-3p
lja-miR11072b-3p	lja-miR11072b-3p
lja-miR11072b-5p	lja-miR11072b-5p
lja-miR11072c-3p	lja-miR11072c-3p
lja-miR11072d-3p	lja-miR11072d-3p
lja-miR11072e-3p	lja-miR11072e-3p
lja-miR11072f-3p	lja-miR11072f-3p
lja-miR11072g-3p	lja-miR11072g-3p
lja-miR11072h-3p	lja-miR11072h-3p
lja-miR11072i-3p	lja-miR11072i-3p
lja-miR11072i-5p	lja-miR11072i-5p
lja-miR11072j-3p	lja-miR11072j-3p
lja-miR11072j-5p	lja-miR11072j-5p
lja-miR11073-5p	lja-miR11073-5p
lja-miR11074-5p	lja-miR11074-5p
lja-miR11075a-3p	lja-miR11075a-3p
lja-miR11075b-3p	lja-miR11075b-3p
lja-miR11075b-5p	lja-miR11075b-5p
lja-miR11075c-3p	lja-miR11075c-3p
lja-miR11076-3p	lja-miR11076-3p
lja-miR11076-5p	lja-miR11076-5p
lja-miR11077a-3p	lja-miR11077a-3p
lja-miR11077a-5p	lja-miR11077a-5p
lja-miR11077b-5p	lja-miR11077b-5p
lja-miR11077c-5p	lja-miR11077c-5p
lja-miR11077d-3p	lja-miR11077d-3p
lja-miR11077d-5p	lja-miR11077d-5p
lja-miR11078a-3p	lja-miR11078a-3p
lja-miR11078b-3p	lja-miR11078b-3p
lja-miR11078c-3p	lja-miR11078c-3p
lja-miR11078c-5p	lja-miR11078c-5p
lja-miR11078d-3p	lja-miR11078d-3p
